drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
lovastatin,-0.0914880633354187,-0.05339509083165063,-0.2955925762653351,0.2028409242630005,0.14357895165390905,9,9,0.6666666666666666,HMGCR inhibitor,HMGCR,0.1079,0.7254855263157894,0.8927,1.0
ceramide,-0.09101477265357971,-0.017570293375423977,-0.21089059114456177,0.24714545905590057,0.14927387122594885,7,7,0.5714285714285714,,,0.1416,0.7932113636363637,0.8587,1.0
calpeptin,-0.09093896299600601,-0.10695871114730834,-0.2611064016819,0.07730287313461304,0.08757822374310428,10,10,0.9,,,0.0909,0.6813333333333333,0.9091,1.0
P-1075,-0.09011495113372803,-0.04645799845457077,-0.1773415505886078,0.13038301467895508,0.11281482768876745,8,8,0.625,ATP channel activator,KCNJ11,0.1207,0.77161,0.8793,1.0
lestaurtinib,-0.08988669514656067,-0.09382640322049458,-0.2712499797344208,0.07490605115890503,0.1007489513590556,6,6,0.8333333333333334,JAK inhibitor,FLT3,0.1505,0.7932113636363637,0.8495,1.0
naltrindole,-0.08978213369846344,-0.04203724612792333,-0.10924594104290009,0.0828673243522644,0.0791334561512835,6,6,0.6666666666666666,Opioid receptor antagonist,OPRD1,0.1508,0.7932113636363637,0.8492,1.0
pterostilbene,-0.08958078920841217,-0.05315874516963959,-0.17779237031936646,0.11403912305831909,0.10430718569374976,6,6,0.6666666666666666,PPAR receptor agonist,PTGS2,0.1514,0.7932113636363637,0.8486,1.0
prednicarbate,-0.08924855291843414,-0.08924855291843414,-0.11734083294868469,-0.061156272888183594,0.02809228003025055,2,2,1.0,Phospholipase activator,NR3C1,0.1944,0.7932113636363637,0.8056,1.0
resorcinol,-0.089164137840271,-0.0874214917421341,-0.1921132206916809,0.132086843252182,0.09943725921846905,7,7,0.8571428571428571,,,0.153,0.7932113636363637,0.8476,1.0
tofacitinib,-0.0889536440372467,-0.07290829718112946,-0.14120939373970032,0.07101577520370483,0.06067980809435538,8,8,0.875,JAK inhibitor,JAK1,0.1264,0.7774500000000001,0.8736,1.0
apigenin,-0.08867055177688599,-0.08437462380299202,-0.2234240472316742,0.15655949711799622,0.11221132941237932,13,13,0.7692307692307693,,,0.0902,0.6813333333333333,0.9104,1.0
norgestrel,-0.08864770829677582,-0.06831535200277965,-0.13445144891738892,0.0791950523853302,0.07014208692101774,6,6,0.8333333333333334,,,0.1552,0.7932113636363637,0.8448,1.0
flumetasone,-0.08766701072454453,-0.01899390369653702,-0.14863905310630798,0.23034745454788208,0.13448644598090262,10,10,0.7,Glucocorticoid receptor agonist,NR3C1,0.104,0.7188066666666667,0.896,1.0
