drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
guggulsterone,-0.0800616443157196,-0.03475151304155588,-0.200600266456604,0.1527417004108429,0.10292892576003876,12,12,0.6666666666666666,IKK inhibitor,NR3C1,0.0985,0.8040265624999999,0.9018,1.0
sildenafil,-0.07985886186361313,-0.035472093522548674,-0.20116807520389557,0.11932188272476196,0.11049560056535175,10,10,0.6,Phosphodiesterase inhibitor,PDE5A,0.1231,0.821909638554217,0.8769,1.0
betulinic-acid,-0.07937217503786087,-0.03141899655262629,-0.1428455412387848,0.10626214742660522,0.09858669639959497,6,6,0.6666666666666666,Caspase activator,GPBAR1,0.1764,0.8649148148148148,0.8236,1.0
ethisterone,-0.07912883162498474,-0.07912883162498474,-0.09028232097625732,-0.06797534227371216,0.011153489351272583,2,2,1.0,,,0.2087,0.9128119658119658,0.7913,1.0
norgestrel,-0.07888545095920563,-0.05249566833178202,-0.1259734034538269,0.05069759488105774,0.07154408789261833,6,6,0.6666666666666666,,,0.1799,0.8649148148148148,0.8201,1.0
montelukast,-0.0787232518196106,-0.05494268238544464,-0.23223558068275452,0.09904283285140991,0.12086976310316408,6,6,0.6666666666666666,Leukotriene receptor antagonist,CYSLTR1,0.1807,0.8649148148148148,0.8193,1.0
norethindrone,-0.07860153913497925,-0.02536231279373169,-0.10244971513748169,0.1259734034538269,0.09125418347127989,6,6,0.6666666666666666,Progestogen hormone,PGR,0.1828,0.8649148148148148,0.8174,1.0
SU-4312,-0.0782771110534668,-0.049399740316651085,-0.20027583837509155,0.10358536243438721,0.08840121272512172,11,11,0.7272727272727273,PDGFR inhibitor,KDR,0.1301,0.821909638554217,0.8712,1.0
artesunate,-0.0782771110534668,-0.05646842930998121,-0.11875408887863159,0.09336471557617188,0.06784048120815707,7,7,0.8571428571428571,,,0.1814,0.8649148148148148,0.8201,1.0
estropipate,-0.07762816548347473,-0.04035528004169464,-0.12970471382141113,0.08233290910720825,0.0801294915893323,8,8,0.625,,,0.1637,0.8546214285714285,0.8365,1.0
estrone,-0.07754704356193542,-0.01772839493221707,-0.16937054693698883,0.1626378893852234,0.12197604296016822,9,9,0.5555555555555556,Estrogen receptor agonist,ESR1,0.1604,0.8546214285714285,0.8402,1.0
rifaximin,-0.07661419361829758,-0.08000756800174713,-0.20741400122642517,0.04891304671764374,0.07825479299234342,6,6,0.8333333333333334,RNA synthesis inhibitor,NR1I2,0.1959,0.896075,0.8042,1.0
cefdinir,-0.0764114260673523,-0.05228748023509979,-0.1311647891998291,0.10536988079547882,0.0817653489570554,5,5,0.8,,,0.2376,0.9131827338129497,0.7628,1.0
EX-527,-0.07637086510658264,-0.07657364755868912,-0.25421804189682007,0.06262168288230896,0.09600073974200875,12,12,0.75,SIRT inhibitor,SIRT1,0.1292,0.821909638554217,0.8709,1.0
galantamine,-0.07624918222427368,-0.07367664575576782,-0.20911747217178345,0.09823165833950043,0.10770468032050835,7,7,0.7142857142857143,Acetylcholinesterase inhibitor,ACHE,0.2048,0.9128119658119658,0.7971,1.0
cyproterone,-0.07592469453811646,-0.07592469453811646,-0.08768653869628906,-0.06416285037994385,0.011761844158172607,2,2,1.0,Androgen receptor antagonist,AR,0.2192,0.9131827338129497,0.7808,1.0
nicardipine,-0.075600266456604,-0.021820242206255596,-0.08711874485015869,0.09725828468799591,0.08433243943506923,3,3,0.6666666666666666,Calcium channel blocker,CACNA1C,0.2907,0.9308567251461989,0.7102,1.0
AM-404,-0.07495133578777313,-0.06285150349140167,-0.14195328950881958,0.06091822683811188,0.06082506571715854,6,6,0.8333333333333334,FAAH inhibitor,TRPV1,0.209,0.9128119658119658,0.7912,1.0
mestranol,-0.07495132088661194,-0.018594317711316623,-0.21755355596542358,0.16312459111213684,0.1201499961765431,13,13,0.5384615384615384,Estrogen receptor agonist,ESR1,0.1524,0.8464826086956522,0.8483,1.0
equol,-0.07462689280509949,-0.08701060960690181,-0.1994646191596985,0.07138219475746155,0.09188407657086133,6,6,0.8333333333333334,Estrogen receptor agonist,ESR1,0.2108,0.9128711864406779,0.7892,1.0
cinnarizine,-0.07430237531661987,-0.08138653635978699,-0.11810511350631714,-0.05175212025642395,0.027547763751579277,3,3,1.0,Calcium channel blocker,HRH1,0.2993,0.9308567251461989,0.7012,1.0
nizatidine,-0.07389682531356812,-0.058671320974826816,-0.16555804014205933,0.0854153037071228,0.08733676963190455,10,10,0.7,Histamine receptor antagonist,HRH2,0.1738,0.8649148148148148,0.8264,1.0
clobetasol,-0.07357233762741089,-0.017712822014635258,-0.15574301779270172,0.12808239459991455,0.09271116530978323,11,11,0.5454545454545454,Glucocorticoid receptor agonist,NR3C1,0.1805,0.8649148148148148,0.8206,1.0
L-689560,-0.07332903146743774,-0.011319397525353865,-0.14625245332717896,0.2040882706642151,0.1234625357867069,11,11,0.6363636363636364,,,0.1809,0.8649148148148148,0.8193,1.0
naproxen,-0.07243672013282776,-0.024694076606205533,-0.09490591287612915,0.11169695854187012,0.08371481479618356,7,7,0.7142857142857143,Cyclooxygenase inhibitor,PTGS1,0.2404,0.9131827338129497,0.7601,1.0
HG-5-88-01,-0.0723961666226387,-0.036042600870132446,-0.13392281532287598,0.09125572443008423,0.08423519583642823,6,6,0.6666666666666666,,,0.2294,0.9131827338129497,0.7706,1.0
homatropine,-0.07227450609207153,-0.01767174473830632,-0.15420180559158325,0.1007462739944458,0.09638628795611719,7,7,0.5714285714285714,Acetylcholine receptor antagonist,CHRM1,0.2464,0.9131827338129497,0.7556,1.0
selegiline,-0.07227450609207153,-0.030534440917628154,-0.08792990446090698,0.10642439872026443,0.07581439563368268,7,7,0.7142857142857143,Monoamine oxidase inhibitor,MAOA,0.2464,0.9131827338129497,0.7556,1.0
