drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
formoterol,-0.0888761579990387,-0.09060823704515185,-0.1704477071762085,0.07840897142887115,0.08048561526657624,7,7,0.8571428571428571,Adrenergic receptor agonist,ADRB2,0.0897,0.7688227272727273,0.9105,1.0
tetrabenazine,-0.08858928084373474,-0.08858928084373474,-0.11290737986564636,-0.06427118182182312,0.02431809902191162,2,2,1.0,Vesicular monoamine transporter inhibitor,SLC18A2,0.1506,0.8364847826086957,0.8494,1.0
OBAA,-0.08837920427322388,-0.02933572232723236,-0.1595573127269745,0.11852297186851501,0.10775670154877379,12,12,0.5833333333333334,Phospholipase inhibitor,PLA2G1B,0.0346,0.7560477272727273,0.9654,1.0
YM-298198,-0.08747246861457825,-0.049553029239177704,-0.25614216923713684,0.11482647061347961,0.13126961751285965,8,8,0.625,Glutamate receptor antagonist,GRM1,0.0628,0.7560477272727273,0.9372,1.0
levonorgestrel,-0.0873507708311081,-0.08223190690789904,-0.15638333559036255,0.04415208101272583,0.058914041765890074,7,7,0.8571428571428571,Estrogen receptor agonist,PGR,0.0959,0.7688227272727273,0.9048,1.0
cefixime,-0.08734899759292603,-0.046111284030808344,-0.19135618209838867,0.23718637228012085,0.12650409503405344,9,9,0.7777777777777778,,,0.0746,0.7635519230769231,0.9258,1.0
GDC-0980,-0.0869746208190918,-0.05963639616966247,-0.2363026738166809,0.10878899693489075,0.1409551899417075,5,5,0.6,MTOR inhibitor,MTOR,0.1359,0.78831797752809,0.8644,1.0
tramadol,-0.08663976192474365,-0.02165152132511139,-0.20006915926933289,0.27633556723594666,0.14288323464118588,9,9,0.5555555555555556,Opioid receptor agonist,OPRM1,0.0777,0.7635519230769231,0.9225,1.0
HG-5-88-01,-0.08628222346305847,-0.0447157621383667,-0.127437561750412,0.0880291759967804,0.08569324142691791,6,6,0.6666666666666666,,,0.0949,0.7688227272727273,0.9051,1.0
rimcazole,-0.08557391166687012,-0.039058814446131386,-0.19034653902053833,0.14616042375564575,0.1216437638311197,9,9,0.6666666666666666,Sigma receptor antagonist,SIGMAR1,0.0804,0.7688227272727273,0.9198,1.0
acarbose,-0.08479449152946472,-0.04297912933609702,-0.16206735372543335,0.14639699459075928,0.11038878280116537,11,11,0.7272727272727273,Glucosidase inhibitor,GAA,0.0605,0.7560477272727273,0.94,1.0
dihydrexidine,-0.08461776375770569,-0.04328538663685322,-0.14894604682922363,0.1578216701745987,0.10008354727407782,8,8,0.75,Dopamine receptor agonist,DRD1,0.0758,0.7635519230769231,0.9242,1.0
enalapril,-0.08460372686386108,-0.07791403893913541,-0.23181453347206116,0.10715627670288086,0.11408907399798368,7,7,0.7142857142857143,Angiotensin converting enzyme inhibitor,ACE,0.1104,0.7782391891891892,0.8907,1.0
artesunate,-0.08445912599563599,-0.04070329666137695,-0.16098159551620483,0.09588244557380676,0.09257065818340302,7,7,0.5714285714285714,,,0.1127,0.7782391891891892,0.8877,1.0
alimemazine,-0.08376896381378174,-0.08376896381378174,-0.08376896381378174,-0.08376896381378174,0.0,1,1,1.0,Histamine receptor ligand,HRH1,0.2917,0.8863206896551725,0.7088,1.0
clobetasol,-0.08356279134750366,-0.021724007346413353,-0.19990915060043335,0.1564422845840454,0.13036088224742864,11,11,0.5454545454545454,Glucocorticoid receptor agonist,NR3C1,0.0685,0.7609456521739131,0.9317,1.0
taxifolin,-0.083500936627388,-0.07023013134797414,-0.15372872352600098,0.07273626327514648,0.07062150921705657,6,6,0.8333333333333334,Opioid receptor antagonist,ADIPOR2,0.1079,0.7782391891891892,0.8921,1.0
VX-222,-0.08286809921264648,-0.06661930680274963,-0.14507558941841125,0.05726665258407593,0.06745925952307133,5,5,0.8,,,0.1595,0.8524409090909091,0.8407,1.0
rifaximin,-0.08279059827327728,-0.06853484114011128,-0.21808964014053345,0.14998561143875122,0.10984936627366453,6,6,0.8333333333333334,RNA synthesis inhibitor,NR1I2,0.1098,0.7782391891891892,0.8902,1.0
hydralazine,-0.08267414569854736,-0.08267414569854736,-0.08363711833953857,-0.08171117305755615,0.0009629726409912109,2,2,1.0,,,0.168,0.8524409090909091,0.832,1.0
potassium-canrenoate,-0.08176170289516449,-0.040984505166610084,-0.138357013463974,0.07176558673381805,0.08186086762097168,12,12,0.5833333333333334,Mineralocorticoid receptor antagonist,NR3C2,0.0568,0.7560477272727273,0.9432,1.0
beclometasone,-0.08160851895809174,-0.08160851895809174,-0.09351468086242676,-0.06970235705375671,0.011906161904335022,2,2,1.0,Glucocorticoid receptor agonist,NR3C1,0.1706,0.8524409090909091,0.8294,1.0
benzatropine,-0.08135449886322021,-0.08135449886322021,-0.08135449886322021,-0.08135449886322021,0.0,1,1,1.0,Acetylcholine receptor antagonist,CHRM1,0.3008,0.8863206896551725,0.6996,1.0
valsartan,-0.08073367923498154,-0.08271242864429951,-0.1980711817741394,0.05271869897842407,0.06480189196241119,8,8,0.875,Angiotensin receptor antagonist,AGTR1,0.0926,0.7688227272727273,0.9074,1.0
ursolic-acid,-0.07980287075042725,0.007359032120023455,-0.14432740211486816,0.2227780520915985,0.13173857964077004,7,7,0.5714285714285714,STAT inhibitor,HSD11B1,0.1351,0.78831797752809,0.865,1.0
isoxsuprine,-0.07961323857307434,-0.034951431676745415,-0.1374356746673584,0.14538642764091492,0.10111461125368129,8,8,0.625,Adrenergic receptor agonist,ADRB2,0.0993,0.7688227272727273,0.9007,1.0
methysergide,-0.07922397553920746,-0.0399476687113444,-0.18184204399585724,0.16041606664657593,0.11779659790023805,12,12,0.6666666666666666,Serotonin receptor antagonist,HTR1B,0.0668,0.7585511111111111,0.9332,1.0
levcromakalim,-0.07903072237968445,-0.04503479599952698,-0.18970489501953125,0.09666413068771362,0.11774300864350624,5,5,0.6,Potassium channel activator,KCNJ8,0.1749,0.8524409090909091,0.8255,1.0
capecitabine,-0.07852520048618317,-0.040720914800961815,-0.14149606227874756,0.09204286336898804,0.0876002547824799,6,6,0.6666666666666666,DNA synthesis inhibitor,TYMS,0.1339,0.78831797752809,0.8661,1.0
oxantel,-0.07829613983631134,-0.07829613983631134,-0.21588456630706787,0.05929228663444519,0.13758842647075653,2,2,0.5,,,0.1816,0.8524409090909091,0.8184,1.0
tranilast,-0.07811394333839417,-0.017766956772123064,-0.14210599660873413,0.11723554134368896,0.10716983674547947,7,7,0.5714285714285714,,,0.1437,0.8158966666666667,0.8564,1.0
lasalocid,-0.0780840516090393,-0.06630886263317531,-0.2462695837020874,0.17677700519561768,0.11973951793771447,9,9,0.7777777777777778,,,0.1162,0.78831797752809,0.8843,1.0
demeclocycline,-0.07750831544399261,-0.07750831544399261,-0.08957266807556152,-0.0654439628124237,0.012064352631568909,2,2,1.0,,,0.1835,0.8524409090909091,0.8165,1.0
picrotoxin,-0.07573825120925903,-0.06521043926477432,-0.21113580465316772,0.14575257897377014,0.10676741497055571,6,6,0.8333333333333334,GABA receptor antagonist,GABRA1,0.1481,0.8316384615384615,0.8519,1.0
H-9,-0.0749143660068512,-0.028443788488705952,-0.17627084255218506,0.2033994495868683,0.12455209508640774,12,12,0.6666666666666666,PKA inhibitor,PRKACA,0.0896,0.7688227272727273,0.9104,1.0
emetine,-0.07467737793922424,-0.04243853241205216,-0.17326369881629944,0.1138458251953125,0.09414297928449686,10,10,0.7,Protein synthesis inhibitor,RPS2,0.1127,0.7782391891891892,0.8873,1.0
vinpocetine,-0.073664590716362,-0.05996632886429628,-0.18311721086502075,0.1462184488773346,0.09054674514024244,12,12,0.8333333333333334,Sodium channel blocker,PDE1A,0.0966,0.7688227272727273,0.9034,1.0
AT-CSC-07,-0.07359457015991211,-0.09494544193148613,-0.1987060308456421,-0.049063026905059814,0.049545328456308435,8,8,1.0,,,0.1312,0.78831797752809,0.8688,1.0
GW-441756,-0.07309993356466293,-0.01930941641330719,-0.15569590032100677,0.28112730383872986,0.1307575046099556,12,12,0.6666666666666666,Growth factor receptor inhibitor,NTRK1,0.0993,0.7688227272727273,0.9008,1.0
MMPX,-0.07275575399398804,-0.008815834919611612,-0.09306833148002625,0.13937658071517944,0.10511547377301331,3,3,0.6666666666666666,,,0.2585,0.8863206896551725,0.7416,1.0
capsaicin,-0.07247120141983032,-0.03887568201337542,-0.10418033599853516,0.17482706904411316,0.08884138144794407,7,7,0.8571428571428571,TRPV agonist,TRPV1,0.1796,0.8524409090909091,0.8211,1.0
rutin,-0.07211768627166748,-0.03799983801750036,-0.17446407675743103,0.1673004925251007,0.10151213863005668,13,13,0.6923076923076923,Antioxidant,AKR1C3,0.1101,0.7782391891891892,0.8904,1.0
norethindrone,-0.07210907340049744,-0.05125429232915243,-0.2123928964138031,0.13619360327720642,0.11601572693375833,6,6,0.6666666666666666,Progestogen hormone,PGR,0.169,0.8524409090909091,0.831,1.0
cyclopamine,-0.07058557868003845,-0.041603241454471244,-0.171644926071167,0.1091877818107605,0.09436559784989491,11,11,0.6363636363636364,Smoothened receptor antagonist,SMO,0.1364,0.78831797752809,0.8641,1.0
rifapentine,-0.07020536065101624,-0.03763037919998169,-0.1355002224445343,0.15311425924301147,0.111703604760045,7,7,0.7142857142857143,RNA polymerase inhibitor,CYP2C8,0.1916,0.8548423728813559,0.8087,1.0
brucine,-0.06993073225021362,-0.022467813321522305,-0.17737969756126404,0.12151473760604858,0.11528340638439417,7,7,0.5714285714285714,,,0.1943,0.8548423728813559,0.8062,1.0
azithromycin,-0.06973247230052948,-0.08831329643726349,-0.3120266795158386,0.08825528621673584,0.1183538501153,6,6,0.8333333333333334,,,0.1834,0.8524409090909091,0.8166,1.0
EX-527,-0.06941458582878113,-0.03208959475159645,-0.1560901403427124,0.23676127195358276,0.10987950852717984,12,12,0.75,SIRT inhibitor,SIRT1,0.122,0.78831797752809,0.8781,1.0
rimantadine,-0.06933367252349854,-0.06933367252349854,-0.07571125030517578,-0.06295609474182129,0.006377577781677246,2,2,1.0,,,0.2093,0.8588888,0.7907,1.0
mefloquine,-0.06908965110778809,-0.014839893579483033,-0.10997217893600464,0.13508468866348267,0.09034977798311751,5,5,0.6,,,0.2373,0.8863206896551725,0.7631,1.0
methylprednisolone,-0.06895485520362854,-0.042666191856066384,-0.23283100128173828,0.13392230868339539,0.13162265158207934,6,6,0.6666666666666666,Glucocorticoid receptor agonist,NR3C1,0.1878,0.8548423728813559,0.8122,1.0
P-1075,-0.06891477108001709,-0.02256106026470661,-0.1345621943473816,0.14630544185638428,0.10674124471588713,8,8,0.625,ATP channel activator,KCNJ11,0.1624,0.8524409090909091,0.8376,1.0
dinoprost,-0.06844887137413025,-0.06844887137413025,-0.20284885168075562,0.06595110893249512,0.13439998030662537,2,2,0.5,Prostacyclin analog,PTGDR,0.2127,0.8590433070866141,0.7873,1.0
docetaxel,-0.06806772947311401,-0.03473201394081116,-0.17874372005462646,0.09858328104019165,0.10632582427122808,7,7,0.5714285714285714,Tubulin inhibitor,TUBB,0.2071,0.8588888,0.7933,1.0
sparfloxacin,-0.06803175806999207,-0.06803175806999207,-0.08328497409820557,-0.052778542041778564,0.015253216028213501,2,2,1.0,,,0.2135,0.8590433070866141,0.7865,1.0
halcinonide,-0.06773039698600769,-0.010192086299260458,-0.15575075149536133,0.20485952496528625,0.13630714181722842,6,6,0.6666666666666666,Glucocorticoid receptor agonist,NR3C1,0.1962,0.8548423728813559,0.8038,1.0
ouabain,-0.0675937831401825,-0.01991443761757442,-0.13921210169792175,0.13548436760902405,0.09642015400515375,14,14,0.5714285714285714,ATPase inhibitor,ATP1A1,0.1291,0.78831797752809,0.8709,1.0
SB-590885,-0.0675167441368103,-0.054708223451267586,-0.19605593383312225,0.13132524490356445,0.10480270560689506,11,11,0.7272727272727273,RAF inhibitor,BRAF,0.1548,0.8505677419354839,0.8459,1.0
U-0126,-0.06733138859272003,-0.0332658846790974,-0.2485244870185852,0.17250823974609375,0.12279272241635919,13,13,0.6153846153846154,MEK inhibitor,MAP2K1,0.1373,0.78831797752809,0.8628,1.0
