drug,median_score,mean_score,min_score,max_score,std_score,n_signatures,n_cell_lines,frac_negative,moa,target,pval_reversal,fdr_reversal,pval_mimicking,fdr_mimicking
cyproterone,-0.1723908856511116,-0.1723908856511116,-0.2225695103406906,-0.12221226096153259,0.05017862468957901,2,2,1.0,Androgen receptor antagonist,AR,0.0173,0.24982222222222225,0.9827,1.0
digitoxigenin,-0.16675910353660583,-0.16675910353660583,-0.17208707332611084,-0.16143113374710083,0.005327969789505005,2,2,1.0,,,0.0222,0.28105,0.9778,1.0
azacitidine,-0.16608036309480667,-0.1642516702413559,-0.2165304720401764,-0.07155442237854004,0.04509437408492719,12,12,1.0,DNA methyltransferase inhibitor,DNMT1,0.0001,0.0073,0.9999,1.0
ivermectin,-0.1653503254055977,-0.1653503254055977,-0.18648770451545715,-0.14421294629573822,0.021137379109859467,2,2,1.0,,,0.0239,0.28402093023255814,0.9761,1.0
dienestrol,-0.1632818654179573,-0.1632818654179573,-0.1932203471660614,-0.1333433836698532,0.029938481748104095,2,2,1.0,Estrogen receptor agonist,ESR1,0.0268,0.31124545454545455,0.9732,1.0
manumycin-a,-0.16010425984859467,-0.13632290916783468,-0.23009011149406433,0.06839090585708618,0.0713953908806198,14,14,0.9285714285714286,NFKB pathway inhibitor,FNTA,0.0001,0.0073,1.0,1.0
A-443654,-0.1578271985054016,-0.1467618535865437,-0.20296090841293335,-0.08715188503265381,0.034236116229793105,11,11,1.0,,,0.0002,0.012775,0.9998,1.0
AT-CSC-07,-0.15304383635520935,-0.11459354311227798,-0.20178058743476868,0.0991223156452179,0.09022189767473844,8,8,0.875,,,0.0015,0.05475000000000001,0.9985,1.0
alfaxalone,-0.1525629460811615,-0.1525629460811615,-0.1525629460811615,-0.1525629460811615,0.0,1,1,1.0,GABA receptor agonist,GABBR1,0.1115,0.7116148148148148,0.8887,1.0
topotecan,-0.15255635976791382,-0.1358355316850874,-0.20492422580718994,-0.07617467641830444,0.04150335846362645,9,9,1.0,Topoisomerase inhibitor,TOP1,0.001,0.04684166666666667,0.9991,1.0
withaferin-a,-0.1511574685573578,-0.12883011665609148,-0.2075696587562561,0.10193485021591187,0.08809532211689841,9,9,0.8888888888888888,IKK inhibitor,NAMPT,0.0011,0.04684166666666667,0.9989,1.0
staurosporine,-0.15083137154579163,-0.14344026893377304,-0.16608619689941406,-0.09489929676055908,0.019929285492853544,8,8,1.0,PKC inhibitor,CDK2,0.0018,0.0574875,0.9982,1.0
camptothecin,-0.146906316280365,-0.10198308527469635,-0.22199338674545288,0.10783976316452026,0.12073705417802232,8,8,0.75,Topoisomerase inhibitor,TOP1,0.003,0.0806842105263158,0.997,1.0
brefeldin-a,-0.14515158534049988,-0.12477244707671079,-0.23193922638893127,0.11066067218780518,0.092438559880703,11,11,0.9090909090909091,,,0.0012,0.04716923076923077,0.9989,1.0
SN-38,-0.14411279559135437,-0.10775204996267955,-0.1836850643157959,0.10916414856910706,0.09979037956429161,6,6,0.8333333333333334,Topoisomerase inhibitor,TOP1,0.0089,0.17491923076923077,0.9911,1.0
vincristine,-0.14197313785552979,-0.1220662695440379,-0.21820411086082458,0.0825265645980835,0.07595666362560878,11,11,0.9090909090909091,Tubulin inhibitor,TUBB,0.0022,0.06612941176470588,0.9979,1.0
floxuridine,-0.14122239500284195,-0.11162368580698967,-0.19783401489257812,0.08991479873657227,0.08873665902900456,8,8,0.875,,,0.0048,0.11679999999999999,0.9952,1.0
digoxin,-0.1398632973432541,-0.1354603903988997,-0.2654915153980255,0.07598268985748291,0.08020029898353286,12,12,0.9166666666666666,ATPase inhibitor,ATP1A1,0.0011,0.04684166666666667,0.9989,1.0
vicriviroc,-0.13816483318805695,-0.09153985977172852,-0.1617572009563446,0.11500287055969238,0.0975075687940638,6,6,0.8333333333333334,CCK receptor antagonist,CCR5,0.0147,0.24231290322580643,0.9853,1.0
asiatic-acid,-0.13761687278747559,-0.13761687278747559,-0.1741083860397339,-0.10112535953521729,0.0364915132522583,2,2,1.0,,,0.0756,0.5598782608695652,0.9244,1.0
ceramide,-0.13736110925674438,-0.07060770690441132,-0.18251961469650269,0.11773431301116943,0.12424006904968898,7,7,0.7142857142857143,,,0.0158,0.24466060606060608,0.9842,1.0
vinblastine,-0.1363893747329712,-0.12673986301972315,-0.2290968894958496,0.12899625301361084,0.08593225874837003,13,13,0.9230769230769231,Tubulin inhibitor,TUBB,0.0017,0.0574875,0.9983,1.0
amikacin,-0.1362718641757965,-0.1362718641757965,-0.19021081924438477,-0.08233290910720825,0.05393895506858826,2,2,1.0,,,0.0783,0.5715899999999999,0.9217,1.0
YM-155,-0.13619568943977356,-0.13489378326468998,-0.25936806201934814,0.046249449253082275,0.08178456667366202,9,9,0.8888888888888888,Survivin inhibitor,BIRC5,0.0084,0.171696,0.9917,1.0
celastrol,-0.1352769136428833,-0.09838038682937622,-0.21800053119659424,0.17265987396240234,0.12803939753779317,6,6,0.8333333333333334,,,0.0176,0.24982222222222225,0.9824,1.0
cefazolin,-0.13478276133537292,-0.13478276133537292,-0.19072723388671875,-0.0788382887840271,0.055944472551345825,2,2,1.0,,,0.0819,0.5894492957746479,0.9181,1.0
JW-7-24-1,-0.13447073101997375,-0.1500927209854126,-0.19692689180374146,-0.10850363969802856,0.03648891648000351,5,5,1.0,,,0.0376,0.37874117647058825,0.9625,1.0
SB-205607,-0.13403618335723877,-0.0997573547065258,-0.1902753710746765,0.07472622394561768,0.07657258559925116,8,8,0.875,Delta 1 opioid receptor agonist,OPRD1,0.0099,0.18736666666666668,0.9901,1.0
thapsigargin,-0.13228222727775574,-0.13312209977043998,-0.18458563089370728,-0.10038208961486816,0.02698965337819345,9,9,1.0,ATPase inhibitor,ATP2A1,0.0118,0.20792413793103448,0.9882,1.0
picrotoxin,-0.13122773170471191,-0.07610462109247844,-0.21135061979293823,0.12384450435638428,0.1417026815179506,6,6,0.6666666666666666,GABA receptor antagonist,GABRA1,0.023,0.28105,0.977,1.0
pancuronium,-0.1310654580593109,-0.1310654580593109,-0.1310654580593109,-0.1310654580593109,0.0,1,1,1.0,,,0.1741,0.8479837837837838,0.8263,1.0
sulmazole,-0.12737220525741577,-0.13797327280044555,-0.18998229503631592,-0.09909746050834656,0.03012956926846758,5,5,1.0,,,0.0531,0.45649333333333336,0.9474,1.0
guanethidine,-0.1269708126783371,-0.1269708126783371,-0.13760778307914734,-0.11633384227752686,0.010636970400810242,2,2,1.0,,,0.1035,0.6954909090909092,0.8965,1.0
CD-1530,-0.12504801154136658,-0.04356875022252401,-0.13188987970352173,0.12623164057731628,0.12009949299593496,3,3,0.6666666666666666,Retinoid receptor agonist,RARG,0.1048,0.6954909090909092,0.8955,1.0
fluocinonide,-0.12501488626003265,-0.12501488626003265,-0.18258416652679443,-0.06744560599327087,0.05756928026676178,2,2,1.0,,,0.1105,0.7116148148148148,0.8895,1.0
cilastatin,-0.12501487135887146,-0.017035571592194692,-0.15492193400859833,0.23397046327590942,0.1509051772443811,7,7,0.5714285714285714,Dehydropeptidase inhibitor,DPEP1,0.033,0.3587872340425532,0.9671,1.0
fludarabine,-0.12497766315937042,-0.09237516919771831,-0.18226966261863708,0.17423421144485474,0.10728984286515243,12,12,0.8333333333333334,DNA synthesis inhibitor,RRM1,0.0068,0.1533,0.9932,1.0
GW-4064,-0.12429480254650116,-0.12429480254650116,-0.1435805857181549,-0.10500901937484741,0.019285783171653748,2,2,1.0,FXR agonist,NR1H4,0.1128,0.7116148148148148,0.8872,1.0
noretynodrel,-0.1234157383441925,-0.08913732658733022,-0.23681777715682983,0.15210768580436707,0.10505148314341517,11,11,0.8181818181818182,Progestogen hormone,PGR,0.0124,0.2112133333333333,0.9877,1.0
sulpiride,-0.1230846643447876,-0.08770345151424408,-0.14768438041210175,0.08257627487182617,0.08586197741217816,5,5,0.8,Dopamine receptor antagonist,DRD2,0.0614,0.49802222222222226,0.9388,1.0
naringenin,-0.12237779796123505,-0.09934198643480029,-0.18230938911437988,0.06883120536804199,0.08009123920062113,7,7,0.8571428571428571,TRPV antagonist,CYP19A1,0.0378,0.37874117647058825,0.9622,1.0
naftifine,-0.12226027250289917,-0.12226027250289917,-0.12226027250289917,-0.12226027250289917,0.0,1,1,1.0,,,0.2016,0.8548008,0.7989,1.0
galantamine,-0.12143751978874207,-0.09911472456795829,-0.1758350133895874,0.06524057686328888,0.07356718747406692,7,7,0.8571428571428571,Acetylcholinesterase inhibitor,ACHE,0.0408,0.3933735849056604,0.9592,1.0
miglitol,-0.12128353118896484,-0.04985664039850235,-0.1589612364768982,0.20210173726081848,0.14630732843046315,4,4,0.75,Glucosidase inhibitor,GAA,0.0745,0.5598455882352941,0.9255,1.0
vinorelbine,-0.12088790535926819,-0.0802469477057457,-0.1940215826034546,0.17856642603874207,0.11694314757256781,14,14,0.7857142857142857,Tubulin inhibitor,TUBB,0.0083,0.171696,0.9917,1.0
puromycin,-0.12083658576011658,-0.13718036900867114,-0.2343677282333374,-0.06868883967399597,0.04663134799120608,11,11,1.0,,,0.0153,0.244321875,0.9849,1.0
cefotiam,-0.12011565268039703,-0.12011565268039703,-0.13476207852363586,-0.1054692268371582,0.01464642584323883,2,2,1.0,,,0.1273,0.7143354166666667,0.8727,1.0
paclitaxel,-0.11987641453742981,-0.07325148085753123,-0.20876985788345337,0.18476277589797974,0.12335447149588669,12,12,0.75,Tubulin inhibitor,TUBB,0.011,0.20074999999999998,0.989,1.0
HG-5-113-01,-0.11962562799453735,-0.12265590826670329,-0.2015719711780548,-0.05426013469696045,0.05586165774903121,6,6,1.0,,,0.0478,0.4370875,0.9522,1.0
homatropine,-0.11925563216209412,-0.07174191304615565,-0.15934357047080994,0.08539047837257385,0.09623944029276747,7,7,0.7142857142857143,Acetylcholine receptor antagonist,CHRM1,0.045,0.4258333333333333,0.9552,1.0
piperacillin,-0.11874330043792725,-0.11874330043792725,-0.15106147527694702,-0.08642512559890747,0.032318174839019775,2,2,1.0,,,0.1316,0.7143354166666667,0.8684,1.0
amsacrine,-0.11836998164653778,-0.11786059183733803,-0.2767815887928009,0.07341009378433228,0.10002214418302387,7,7,0.8571428571428571,Topoisomerase inhibitor,TOP2A,0.0495,0.4437631578947369,0.9509,1.0
doxorubicin,-0.11830705404281616,-0.07634323835372925,-0.19598820805549622,0.10134553909301758,0.11070265877119535,11,11,0.7272727272727273,Topoisomerase inhibitor,TOP2A,0.0191,0.2581894736842105,0.9812,1.0
